rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Achromatopsia	MONDO:0018852	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
2	Stargardt disease	MONDO:0019353	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Cone-rod dystrophy	MONDO:0100438	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Cone-rod dystrophy	MONDO:0015993	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Cone-rod dystrophy	MONDO:0007362	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Cone-rod dystrophy	MONDO:0011458	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Optic nerve hypoplasia	MONDO:0008136	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
5	Albinism	MONDO:0043209	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	Retinitis pigmentosa	MONDO:0008377	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	Retinitis pigmentosa	MONDO:0019200	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
