rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Fragile X Syndrome	MONDO:0010383	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
2	Angelman Syndrome	MONDO:0007113	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Rett Syndrome	MONDO:0010726	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Leber Congenital Amaurosis	MONDO:0018998	('OMIM:613826', 'Leber congenital amaurosis 6')	0.5	True
5	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	Down Syndrome	MONDO:0008608	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
7	Batten Disease	MONDO:0008767	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
7	Batten Disease	MONDO:0019262	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
8	Autism Spectrum Disorder	MONDO:0005260	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
8	Autism Spectrum Disorder	MONDO:0005258	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
9	Achromatopsia	MONDO:0018852	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Cortical Visual Impairment	MONDO:0018649	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Cortical Visual Impairment	MONDO:0001385	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
